Date,Open,High,Low,Close,Adj Close,Volume
12/12/2016,30.075901,30.97723,30.037951,30.740038,25.265226,33997508
12/13/2016,31.129032,31.195446,30.891842,31.148008,25.600538,30313356
12/14/2016,31.233397,31.593927,30.967743,31.138519,25.592737,38309843
12/15/2016,30.958254,31.271347,30.92979,31.072105,25.538149,22004463
12/16/2016,31.195446,31.252373,30.853889,31.157495,25.608335,39615012
12/19/2016,31.081594,31.280834,31.043644,31.148008,25.600538,26276958
12/20/2016,31.100569,31.195446,30.901327,31.166983,25.616135,26428312
12/21/2016,31.053131,31.242884,30.673624,30.740038,25.265226,19751644
12/22/2016,30.635674,30.768501,30.40797,30.683111,25.218441,19618418
12/23/2016,30.749525,30.891842,30.702087,30.815939,25.327616,11387943
12/27/2016,30.901327,31.043644,30.815939,30.863379,25.366602,11826302
12/28/2016,30.834915,31.015181,30.683111,30.6926,25.226236,14691495
12/29/2016,30.730551,30.948767,30.711575,30.825426,25.335411,14827250
12/30/2016,30.683111,30.92979,30.65465,30.815939,25.327616,19885396
1/3/2017,31.024668,31.309298,30.920303,31.309298,25.733103,23391844
1/4/2017,31.432638,31.641365,31.337761,31.58444,25.959246,22753963
1/5/2017,31.660341,31.963947,31.423149,31.888046,26.208776,21083584
1/6/2017,31.935484,31.973434,31.63188,31.764706,26.107405,18418228
1/9/2017,31.717268,31.944971,31.669828,31.755219,26.099607,21559886
1/10/2017,31.86907,31.935484,31.612904,31.726755,26.076212,20444754
1/11/2017,31.660341,31.821632,30.740038,31.148008,25.600538,42623128
1/12/2017,30.863379,30.948767,30.645161,30.92979,25.421186,33475989
1/13/2017,30.996204,31.100569,30.673624,30.853889,25.358805,21386925
1/17/2017,30.6926,30.721064,30.151802,30.417458,25.000101,33838143
1/18/2017,30.445921,30.626186,30.313093,30.388994,24.976706,22629064
1/19/2017,30.417458,30.445921,29.914612,30.075901,24.719376,27555881
1/20/2017,30.094877,30.474382,30.037951,30.142315,24.77396,31788324
1/23/2017,30.056927,30.189753,29.829222,29.848198,24.532227,26098094
1/24/2017,29.791271,29.848198,29.316889,29.554079,24.290487,31225172
1/25/2017,29.753321,29.905123,29.506641,29.686907,24.399662,33905283
1/26/2017,29.791271,29.857685,29.601519,29.67742,24.391863,28653517
1/27/2017,29.857685,29.924099,29.658443,29.810247,24.501036,25353654
1/30/2017,29.857685,29.886148,29.468691,29.705881,24.415257,28947899
1/31/2017,29.421251,30.294119,29.34535,30.104364,24.742769,39472300
2/1/2017,29.895636,30.066414,29.658443,30.047438,24.947578,30031938
2/2/2017,29.857685,30.104364,29.71537,30.104364,24.994844,24634404
2/3/2017,30.40797,30.588236,30.28463,30.445921,25.278433,37935252
2/6/2017,30.360531,30.673624,30.303604,30.578749,25.388712,25859258
2/7/2017,30.664137,30.6926,30.303604,30.436434,25.270552,24781648
2/8/2017,30.28463,30.6926,30.28463,30.493359,25.317814,20194745
2/9/2017,30.493359,30.872866,30.493359,30.721064,25.506872,25102380
2/10/2017,30.749525,30.787476,30.578749,30.6926,25.483238,23090189
2/13/2017,30.777988,31.015181,30.777988,30.93928,25.688051,21733585
2/14/2017,30.863379,31.091082,30.6926,31.072105,25.798328,24205532
2/15/2017,31.100569,31.859583,31.015181,31.793169,26.397015,48035523
2/16/2017,31.736242,32.153702,31.518026,31.897533,26.483669,40402244
2/17/2017,31.86907,32.153702,31.812143,31.897533,26.483669,36882306
2/21/2017,31.850096,32.06831,31.764706,31.897533,26.483669,25391598
